Month,Salesperson,Region,Sales_Target_INR,New_Customer_Target
2024-11,Aarav Sharma,North,"5,82,229",32
2024-11,Priya Verma,North,"6,35,618",34
2024-11,Karan Malhotra,North,"6,19,891",30
2024-11,Rohan Mehta,West,"6,22,110",33
2024-11,Meera Joshi,West,"6,96,389",33
2024-11,Dev Patel,West,"6,88,723",34
2024-11,Sneha Rao,South,"6,70,791",29
2024-11,Arjun Nair,South,"7,03,663",30
2024-11,Isha Reddy,South,"6,82,887",31
2024-11,Vikram Sen,East,"3,74,157",19
2024-11,Neha Das,East,"3,74,521",22
2024-11,Kavya Roy,East,"3,67,724",19
2024-12,Aarav Sharma,North,"4,95,012",27
2024-12,Priya Verma,North,"4,80,799",27
2024-12,Karan Malhotra,North,"4,71,640",24
2024-12,Rohan Mehta,West,"5,40,228",27
2024-12,Meera Joshi,West,"5,42,084",25
2024-12,Dev Patel,West,"5,23,359",23
2024-12,Sneha Rao,South,"5,60,226",23
2024-12,Arjun Nair,South,"5,08,895",26
2024-12,Isha Reddy,South,"5,33,942",23
2024-12,Vikram Sen,East,"2,63,540",17
2024-12,Neha Das,East,"2,62,176",16
2024-12,Kavya Roy,East,"2,97,417",16
2025-01,Aarav Sharma,North,"3,91,084",21
2025-01,Priya Verma,North,"4,10,859",20
2025-01,Karan Malhotra,North,"4,09,102",21
2025-01,Rohan Mehta,West,"4,34,801",22
2025-01,Meera Joshi,West,"4,54,335",21
2025-01,Dev Patel,West,"4,08,377",21
2025-01,Sneha Rao,South,"4,27,899",20
2025-01,Arjun Nair,South,"4,28,425",21
2025-01,Isha Reddy,South,"4,39,049",20
2025-01,Vikram Sen,East,"2,37,313",13
2025-01,Neha Das,East,"2,29,162",14
2025-01,Kavya Roy,East,"2,43,144",12
2025-02,Aarav Sharma,North,"4,50,609",24
2025-02,Priya Verma,North,"4,06,693",24
2025-02,Karan Malhotra,North,"4,26,065",23
2025-02,Rohan Mehta,West,"4,30,283",21
2025-02,Meera Joshi,West,"4,79,862",21
2025-02,Dev Patel,West,"4,65,645",24
2025-02,Sneha Rao,South,"4,78,760",23
2025-02,Arjun Nair,South,"4,66,407",22
2025-02,Isha Reddy,South,"4,92,952",23
2025-02,Vikram Sen,East,"2,48,285",14
2025-02,Neha Das,East,"2,32,481",14
2025-02,Kavya Roy,East,"2,38,864",15
2025-03,Aarav Sharma,North,"4,78,476",22
2025-03,Priya Verma,North,"4,90,694",22
2025-03,Karan Malhotra,North,"4,42,960",23
2025-03,Rohan Mehta,West,"4,62,924",24
2025-03,Meera Joshi,West,"4,92,817",26
2025-03,Dev Patel,West,"4,66,002",23
2025-03,Sneha Rao,South,"5,24,664",23
2025-03,Arjun Nair,South,"5,16,446",24
2025-03,Isha Reddy,South,"5,43,464",25
2025-03,Vikram Sen,East,"2,78,941",16
2025-03,Neha Das,East,"2,78,945",15
2025-03,Kavya Roy,East,"2,53,963",15
2025-04,Aarav Sharma,North,"4,30,009",22
2025-04,Priya Verma,North,"4,66,500",24
2025-04,Karan Malhotra,North,"4,60,515",22
2025-04,Rohan Mehta,West,"4,96,546",22
2025-04,Meera Joshi,West,"4,78,195",25
2025-04,Dev Patel,West,"4,48,747",21
2025-04,Sneha Rao,South,"4,92,470",21
2025-04,Arjun Nair,South,"4,89,600",23
2025-04,Isha Reddy,South,"4,73,387",25
2025-04,Vikram Sen,East,"2,44,250",14
2025-04,Neha Das,East,"2,69,833",14
2025-04,Kavya Roy,East,"2,41,767",15
2025-05,Aarav Sharma,North,"4,69,452",25
2025-05,Priya Verma,North,"4,69,045",25
2025-05,Karan Malhotra,North,"4,61,618",22
2025-05,Rohan Mehta,West,"4,61,174",26
2025-05,Meera Joshi,West,"4,73,076",26
2025-05,Dev Patel,West,"5,01,599",26
2025-05,Sneha Rao,South,"5,24,704",26
2025-05,Arjun Nair,South,"4,95,424",25
2025-05,Isha Reddy,South,"5,31,879",24
2025-05,Vikram Sen,East,"2,84,487",15
2025-05,Neha Das,East,"2,70,856",16
2025-05,Kavya Roy,East,"2,66,012",17
2025-06,Aarav Sharma,North,"4,87,930",24
2025-06,Priya Verma,North,"4,96,986",26
2025-06,Karan Malhotra,North,"4,63,879",26
2025-06,Rohan Mehta,West,"5,36,605",24
2025-06,Meera Joshi,West,"5,42,733",26
2025-06,Dev Patel,West,"4,92,438",25
2025-06,Sneha Rao,South,"5,37,389",27
2025-06,Arjun Nair,South,"5,31,905",26
2025-06,Isha Reddy,South,"5,40,551",27
2025-06,Vikram Sen,East,"2,69,863",18
2025-06,Neha Das,East,"2,72,984",15
2025-06,Kavya Roy,East,"2,97,646",17
2025-07,Aarav Sharma,North,"4,94,024",25
2025-07,Priya Verma,North,"4,75,532",25
2025-07,Karan Malhotra,North,"4,92,878",25
2025-07,Rohan Mehta,West,"4,73,526",23
2025-07,Meera Joshi,West,"5,13,948",25
2025-07,Dev Patel,West,"4,59,236",23
2025-07,Sneha Rao,South,"4,94,931",24
2025-07,Arjun Nair,South,"5,06,580",23
2025-07,Isha Reddy,South,"4,98,040",22
2025-07,Vikram Sen,East,"2,83,308",15
2025-07,Neha Das,East,"2,81,951",14
2025-07,Kavya Roy,East,"2,75,332",17
2025-08,Aarav Sharma,North,"5,11,389",25
2025-08,Priya Verma,North,"4,85,873",27
2025-08,Karan Malhotra,North,"4,77,933",27
2025-08,Rohan Mehta,West,"4,99,063",25
2025-08,Meera Joshi,West,"5,19,518",24
2025-08,Dev Patel,West,"4,91,107",26
2025-08,Sneha Rao,South,"5,78,673",25
2025-08,Arjun Nair,South,"5,52,763",26
2025-08,Isha Reddy,South,"5,62,696",27
2025-08,Vikram Sen,East,"2,89,648",17
2025-08,Neha Das,East,"2,92,492",16
2025-08,Kavya Roy,East,"2,79,688",17
2025-09,Aarav Sharma,North,"5,41,888",25
2025-09,Priya Verma,North,"4,96,935",29
2025-09,Karan Malhotra,North,"5,45,088",26
2025-09,Rohan Mehta,West,"5,69,105",27
2025-09,Meera Joshi,West,"5,25,426",27
2025-09,Dev Patel,West,"5,20,023",28
2025-09,Sneha Rao,South,"5,64,649",27
2025-09,Arjun Nair,South,"5,59,988",26
2025-09,Isha Reddy,South,"5,80,225",25
2025-09,Vikram Sen,East,"2,86,024",17
2025-09,Neha Das,East,"2,88,484",16
2025-09,Kavya Roy,East,"3,14,830",16
2025-10,Aarav Sharma,North,"5,83,719",33
2025-10,Priya Verma,North,"6,25,678",29
2025-10,Karan Malhotra,North,"6,26,838",32
2025-10,Rohan Mehta,West,"6,49,116",30
2025-10,Meera Joshi,West,"6,76,890",29
2025-10,Dev Patel,West,"6,70,864",32
2025-10,Sneha Rao,South,"6,51,822",34
2025-10,Arjun Nair,South,"6,39,853",31
2025-10,Isha Reddy,South,"6,47,522",32
2025-10,Vikram Sen,East,"3,29,900",21
2025-10,Neha Das,East,"3,30,462",21
2025-10,Kavya Roy,East,"3,62,290",18
2025-11,Aarav Sharma,North,"6,64,073",37
2025-11,Priya Verma,North,"6,79,058",33
2025-11,Karan Malhotra,North,"6,62,230",37
2025-11,Rohan Mehta,West,"6,79,648",33
2025-11,Meera Joshi,West,"7,52,113",38
2025-11,Dev Patel,West,"7,03,609",37
2025-11,Sneha Rao,South,"7,39,157",34
2025-11,Arjun Nair,South,"7,40,965",33
2025-11,Isha Reddy,South,"7,63,744",37
2025-11,Vikram Sen,East,"3,86,158",23
2025-11,Neha Das,East,"3,84,440",25
2025-11,Kavya Roy,East,"3,76,107",22
2025-12,Aarav Sharma,North,"5,57,400",30
2025-12,Priya Verma,North,"5,41,964",27
2025-12,Karan Malhotra,North,"5,28,525",26
2025-12,Rohan Mehta,West,"6,00,839",30
2025-12,Meera Joshi,West,"5,68,871",28
2025-12,Dev Patel,West,"5,76,462",30
2025-12,Sneha Rao,South,"5,95,040",26
2025-12,Arjun Nair,South,"5,57,310",27
2025-12,Isha Reddy,South,"6,02,382",30
2025-12,Vikram Sen,East,"3,28,011",17
2025-12,Neha Das,East,"3,28,164",18
2025-12,Kavya Roy,East,"3,04,008",16
2026-01,Aarav Sharma,North,"4,30,948",24
2026-01,Priya Verma,North,"4,43,119",22
2026-01,Karan Malhotra,North,"4,45,920",25
2026-01,Rohan Mehta,West,"4,86,617",25
2026-01,Meera Joshi,West,"4,94,603",24
2026-01,Dev Patel,West,"4,62,042",23
2026-01,Sneha Rao,South,"5,11,526",25
2026-01,Arjun Nair,South,"4,77,711",24
2026-01,Isha Reddy,South,"5,21,152",23
2026-01,Vikram Sen,East,"2,67,116",14
2026-01,Neha Das,East,"2,54,069",15
2026-01,Kavya Roy,East,"2,51,343",14
2026-02,Aarav Sharma,North,"4,79,868",25
2026-02,Priya Verma,North,"4,82,732",25
2026-02,Karan Malhotra,North,"4,81,932",23
2026-02,Rohan Mehta,West,"5,17,777",23
2026-02,Meera Joshi,West,"5,06,674",25
2026-02,Dev Patel,West,"4,76,639",25
2026-02,Sneha Rao,South,"4,95,094",26
2026-02,Arjun Nair,South,"5,49,511",24
2026-02,Isha Reddy,South,"5,11,339",25
2026-02,Vikram Sen,East,"2,64,583",15
2026-02,Neha Das,East,"2,57,705",15
2026-02,Kavya Roy,East,"2,84,659",15
2026-03,Aarav Sharma,North,"4,96,804",24
2026-03,Priya Verma,North,"4,95,795",26
2026-03,Karan Malhotra,North,"5,35,749",26
2026-03,Rohan Mehta,West,"5,20,365",24
2026-03,Meera Joshi,West,"5,12,265",29
2026-03,Dev Patel,West,"5,23,975",26
2026-03,Sneha Rao,South,"5,63,574",25
2026-03,Arjun Nair,South,"5,52,707",26
2026-03,Isha Reddy,South,"5,68,067",26
2026-03,Vikram Sen,East,"2,75,369",17
2026-03,Neha Das,East,"2,98,167",18
2026-03,Kavya Roy,East,"2,96,855",17
2026-04,Aarav Sharma,North,"5,10,229",25
2026-04,Priya Verma,North,"5,12,314",27
2026-04,Karan Malhotra,North,"4,94,045",23
2026-04,Rohan Mehta,West,"4,90,779",24
2026-04,Meera Joshi,West,"4,88,871",27
2026-04,Dev Patel,West,"4,91,376",24
2026-04,Sneha Rao,South,"5,27,315",25
2026-04,Arjun Nair,South,"5,55,566",26
2026-04,Isha Reddy,South,"5,23,587",26
2026-04,Vikram Sen,East,"2,98,216",16
2026-04,Neha Das,East,"2,84,004",15
2026-04,Kavya Roy,East,"2,69,640",17
2026-05,Aarav Sharma,North,"4,85,262",28
2026-05,Priya Verma,North,"5,05,660",26
2026-05,Karan Malhotra,North,"5,37,944",28
2026-05,Rohan Mehta,West,"5,53,503",26
2026-05,Meera Joshi,West,"5,12,765",26
2026-05,Dev Patel,West,"5,32,769",24
2026-05,Sneha Rao,South,"5,29,610",28
2026-05,Arjun Nair,South,"5,30,424",28
2026-05,Isha Reddy,South,"5,66,322",25
2026-05,Vikram Sen,East,"3,12,288",16
2026-05,Neha Das,East,"2,92,254",17
2026-05,Kavya Roy,East,"2,95,206",17
2026-06,Aarav Sharma,North,"5,25,652",29
2026-06,Priya Verma,North,"5,28,406",30
2026-06,Karan Malhotra,North,"5,04,227",29
2026-06,Rohan Mehta,West,"5,98,464",28
2026-06,Meera Joshi,West,"6,02,924",30
2026-06,Dev Patel,West,"5,66,827",30
2026-06,Sneha Rao,South,"6,26,552",26
2026-06,Arjun Nair,South,"6,09,176",26
2026-06,Isha Reddy,South,"5,83,402",29
2026-06,Vikram Sen,East,"3,16,526",17
2026-06,Neha Das,East,"2,97,856",17
2026-06,Kavya Roy,East,"3,20,828",19
